Word,Frequency,Rank
"understated,",2,1432
(no,2,1433
greengage,2,1434
flavoury.,2,1435
bad.,2,1436
sauvignon,2,1437
vintage),2,1438
textured,2,1439
1999.,2,1440
marred,2,1441
moment.,2,1442
"drink,",2,1443
brioche,2,1444
awful,2,1445
almonds,2,1446
trying,2,1447
magnum.,2,1448
guess).,2,1449
overwrought.,2,1450
extravagently,2,1451
interested,2,1452
comparison,2,1453
finesse,2,1454
bitterness.,2,1455
oozes,2,1456
"not,",2,1457
"hard,",2,1458
decanting.,2,1459
rose,2,1460
nicely-textured,2,1461
evolving,2,1462
"acid,",2,1463
light.,2,1464
either,2,1465
with.,2,1466
resolve,2,1467
southern,2,1468
vibrant.,2,1469
demanding,2,1470
doubtless,2,1471
(for,2,1472
nature,2,1473
term,2,1474
youth.,2,1475
reasonably,2,1476
iodine,2,1477
"age,",2,1478
hazelnut,2,1479
couldn't,2,1480
beaujolais.,2,1481
plum,2,1482
spritz,2,1483
"keroseney,",2,1484
cheese,2,1485
considering,2,1486
poised.,2,1487
anything,2,1488
below,2,1489
brilliant.,2,1490
analysis,2,1491
fatness,2,1492
elegantly,2,1493
grip.,2,1494
grapes.,2,1495
oxidative,2,1496
buzz.,2,1497
cellar,2,1498
liquid,2,1499
burgundian.,2,1500
brown-sugar,2,1501
"raspberry,",2,1502
view,2,1503
"extracted,",2,1504
raw,2,1505
midpalate.,2,1506
joy.,2,1507
tired,2,1508
"iron,",2,1509
perhaps).,2,1510
madeira-like.,2,1511
toffeed,2,1512
(almost,2,1513
"up,",2,1514
classically,2,1515
"toffeed,",2,1516
beautifully.,2,1517
becoming,2,1518
decanter.,2,1519
integrated,2,1520
leathery,2,1521
basis,2,1522
"claret,",2,1523
"larger,",2,1524
day.,2,1525
promising.,2,1526
nutty.,2,1527
brambly,2,1528
mousse.,2,1529
grapefruity,2,1530
lemony.,2,1531
seriously,2,1532
big.,2,1533
harsh.,2,1534
rioja,2,1535
everyones,2,1536
source,2,1537
jadot,2,1538
four,2,1539
here,2,1540
expecting.,2,1541
"so,",2,1542
tough,2,1543
going.,2,1544
london,2,1545
package,2,1546
rotie,2,1547
stops,2,1548
nevertheless,2,1549
merit,2,1550
nv,2,1551
intellectual,2,1552
hotel,2,1553
pinots,2,1554
succulent.,2,1555
restaurant,2,1556
etc.,2,1557
falls,2,1558
aiming,2,1559
light-bodied,2,1560
level.,2,1561
bordeaux,2,1562
"cranberry,",2,1563
evenings,2,1564
ready.,2,1565
potentially,2,1566
sickly,2,1567
flashy,2,1568
form.,2,1569
precision,2,1570
inside,2,1571
hadn't,2,1572
riper,2,1573
world,2,1574
"spices,",2,1575
"burgundy,",2,1576
undrinkable,2,1577
"made,",2,1578
(typical,2,1579
poise,2,1580
enigmatic.,2,1581
night,2,1582
reputation,2,1583
"charming,",2,1584
flight.,2,1585
light-to-medium,2,1586
robust,2,1587
typical,2,1588
"caillerets,",2,1589
thin.,2,1590
took,2,1591
"stuff,",2,1592
good:,2,1593
taught.,2,1594
your,2,1595
overtones.,2,1596
way),2,1597
depth.,2,1598
tighter,2,1599
one:,2,1600
difficult.,2,1601
lacking.,2,1602
rhone.,2,1603
beaucastel,2,1604
richer.,2,1605
"oxidised,",2,1606
unforced.,2,1607
evolution,2,1608
astringent,2,1609
within,2,1610
"dense,",2,1611
flat.,2,1612
harder,2,1613
secondary,2,1614
finest,2,1615
vintages.,2,1616
mouthful.,2,1617
pepper,2,1618
lot.,2,1619
leather,2,1620
